länder,x,y
Russland, 315.0, 157.0
Türkei, 214.0, -240.0 
Zypern, 215.0, -334.0
Griechenland, 105.0, -320.0
Malta, -11.0, -343.0
Spanien, -275.0, -266.0
Portugal, -360.0, -236.0
Andorra, -231.0, -222.0
Monaco, -147.0, -228.0
Vatikanstadt, -147.0, -228.0
Albanien, 3.0, -264.0
Nordmazedonien, 81.0, -248.0
Kosovo, 50.0, -227.0
Montenegro, -22.0, -238.0
Italien, -82.0, -232.0
Bulgarien, 91.0, -210.0
Bosnien und Herzegowina, -14.0, -209.0
San Marino, -91.0, -208.0
Frankreich, -190.0, -191.0
Serbien, 38.0, -189.0
Kroatien, -20.0, -182.0
Slowenien, -75.0, -175.0
Schweiz, -161.0, -167.0
Liechtenstein, -161.0, -167.0
Österreich, -63.0, -149.0
Ungarn, 12.0, -152.0
Romänien, 84.0, -168.0
Moldawien, 106.0, -134.0
Slowakei, 3.0, -123.0
Tschechien, -49.0, -113.0
Luxemburg, -197.0, -123.0
Belgien, -168.0, -98.0
Deutschland, -102.0, -84.0
Polen, -8.0, -66.0
Ukraine, 133.0, -87.0
Weißrussland, 76.0, -39.0
Niederlande, -177.0, -50.0
Irland, -332.0, -30.0
Vereinigtes Königreich, -215.0, 14.0
Litauen, 18.0, -7.0
Lettland, 34.0, 19.0
Estland, 27.0, 51.0
Schweden, -63.0, 51.0
Finnland, 24.0, 124.0
Norwegen, -107.0, 81.0
Island, -299.0, 177.0